ticket_id,source_id,source_type,category,priority,title,technical_details,created_at,confidence,link_back
T1,1,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T2,2,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T3,3,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T4,4,App Store Review,Complaint,Medium,Complaint: Too expensive for what it offers.,Complaint: Too expensive for what it offers.,2025-08-28 20:43:47,0.7,
T5,5,App Store Review,Feature Request,High,high-impact trigger,Feature: Please add dark mode.,2025-08-28 20:43:47,0.8,
T6,6,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T7,7,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T8,8,App Store Review,Bug,Medium,Bug: Notifications stopped working.,Platform=App Store; Version=2.2.0; Summary=Notifications stopped working.,2025-08-28 20:43:47,0.75,
T9,9,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T10,10,App Store Review,Feature Request,High,high-impact trigger,Feature: Would love to see calendar integration.,2025-08-28 20:43:47,0.8,
T11,11,App Store Review,Complaint,Medium,Complaint: Too expensive for what it offers.,Complaint: Too expensive for what it offers.,2025-08-28 20:43:47,0.7,
T12,12,App Store Review,Complaint,Medium,Complaint: Ads are very annoying.,Complaint: Ads are very annoying.,2025-08-28 20:43:47,0.7,
T13,13,App Store Review,Complaint,Medium,Complaint: Too expensive for what it offers.,Complaint: Too expensive for what it offers.,2025-08-28 20:43:47,0.7,
T14,14,App Store Review,Feature Request,High,high-impact trigger,Feature: Would love to see calendar integration.,2025-08-28 20:43:47,0.8,
T15,15,App Store Review,Feature Request,Medium,medium-impact trigger,Feature: Missing functionality for exporting data.,2025-08-28 20:43:47,0.8,
T16,16,App Store Review,Complaint,Medium,Complaint: Poor customer service response.,Complaint: Poor customer service response.,2025-08-28 20:43:47,0.7,
T17,17,App Store Review,Feature Request,Medium,medium-impact trigger,Feature: Could you include a widget on the home screen?,2025-08-28 20:43:47,0.8,
T18,18,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T19,19,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T20,20,App Store Review,Feature Request,Medium,medium-impact trigger,Feature: Add support for multiple accounts.,2025-08-28 20:43:47,0.8,
T21,21,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T22,22,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T23,23,App Store Review,Feature Request,Medium,medium-impact trigger,Feature: Add support for multiple accounts.,2025-08-28 20:43:47,0.8,
T24,24,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T25,25,App Store Review,Complaint,Medium,Complaint: Too expensive for what it offers.,Complaint: Too expensive for what it offers.,2025-08-28 20:43:47,0.7,
T26,26,App Store Review,Bug,Medium,Bug: Data sync not working between devices.,Platform=Google Play; Version=3.1.0; Summary=Data sync not working between devices.,2025-08-28 20:43:47,0.75,
T27,27,App Store Review,Bug,High,Bug: Can't login since the last update.,Platform=App Store; Version=3.0.1; Summary=Can't login since the last update.,2025-08-28 20:43:47,0.75,
T28,28,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T29,29,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T30,30,App Store Review,Complaint,Medium,Complaint: Ads are very annoying.,Complaint: Ads are very annoying.,2025-08-28 20:43:47,0.7,
T31,31,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T32,32,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T33,33,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T34,34,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T35,35,App Store Review,Bug,Medium,Bug: Notifications stopped working.,Platform=Google Play; Version=3.1.0; Summary=Notifications stopped working.,2025-08-28 20:43:47,0.75,
T36,36,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T37,37,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T38,38,App Store Review,Complaint,Medium,Complaint: The app is too slow on my phone.,Complaint: The app is too slow on my phone.,2025-08-28 20:43:47,0.7,
T39,39,App Store Review,Bug,Medium,Bug: Notifications stopped working.,Platform=Google Play; Version=2.1.3; Summary=Notifications stopped working.,2025-08-28 20:43:47,0.75,
T40,40,App Store Review,Complaint,Medium,Complaint: Ads are very annoying.,Complaint: Ads are very annoying.,2025-08-28 20:43:47,0.7,
T41,41,App Store Review,Bug,Medium,Bug: Notifications stopped working.,Platform=Google Play; Version=2.1.3; Summary=Notifications stopped working.,2025-08-28 20:43:47,0.75,
T42,42,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T43,43,App Store Review,Bug,High,Bug: Can't login since the last update.,Platform=Google Play; Version=2.1.3; Summary=Can't login since the last update.,2025-08-28 20:43:47,0.75,
T44,44,App Store Review,Feature Request,Medium,medium-impact trigger,Feature: Missing functionality for exporting data.,2025-08-28 20:43:47,0.8,
T45,45,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T46,46,App Store Review,Feature Request,Medium,medium-impact trigger,Feature: Missing functionality for exporting data.,2025-08-28 20:43:47,0.8,
T47,47,App Store Review,Praise,Low,Praise,Positive feedback,2025-08-28 20:43:47,0.7,
T48,48,App Store Review,Complaint,Medium,Complaint: Too expensive for what it offers.,Complaint: Too expensive for what it offers.,2025-08-28 20:43:47,0.7,
T49,49,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T50,50,App Store Review,Spam,Low,Spam,Likely spam,2025-08-28 20:43:47,0.95,
T1,1,Support Email,Bug,High,"Bug: Every time I click save, the app crashes. Device: Pixel 6, Android 13","Platform=Unknown; Version=Unknown; Summary=Every time I click save, the app crashes. Device: Pixel 6, Android 13",2025-08-28 20:43:47,0.9,
T2,2,Support Email,Bug,High,"Bug: Cannot login since update. Using iPhone 13, iOS 17","Platform=Unknown; Version=Unknown; Summary=Cannot login since update. Using iPhone 13, iOS 17",2025-08-28 20:43:47,0.75,
T3,3,Support Email,Feature Request,Low,low-impact default,Feature: Would love a dark theme for late night work.,2025-08-28 20:43:47,0.8,
T4,4,Support Email,Other,Low,"Please improve sync speed. Using Samsung S21, Android 12","Summary=Please improve sync speed. Using Samsung S21, Android 12",2025-08-28 20:43:47,0.4,
T5,5,Support Email,Other,Low,"Lost notes after sync. Device: iPad Pro, iOS 16","Summary=Lost notes after sync. Device: iPad Pro, iOS 16",2025-08-28 20:43:47,0.4,
